Scan REF	Ost1-1.CEL	Ost1-1.CEL	Ost1-1.CEL	Ost1-1.CEL	Ost1-1pr2.CEL	Ost1-1pr2.CEL	Ost1-1pr2.CEL	Ost1-1pr2.CEL	Ost12.CEL	Ost12.CEL	Ost12.CEL	Ost12.CEL	Ost16.CEL	Ost16.CEL	Ost16.CEL	Ost16.CEL	Ost17.CEL	Ost17.CEL	Ost17.CEL	Ost17.CEL	Ost19.CEL	Ost19.CEL	Ost19.CEL	Ost19.CEL	Ost2-1.CEL	Ost2-1.CEL	Ost2-1.CEL	Ost2-1.CEL	Ost2-2.CEL	Ost2-2.CEL	Ost2-2.CEL	Ost2-2.CEL	Ost21.CEL	Ost21.CEL	Ost21.CEL	Ost21.CEL	Ost23.CEL	Ost23.CEL	Ost23.CEL	Ost23.CEL	Ost26.CEL	Ost26.CEL	Ost26.CEL	Ost26.CEL	Ost27.CEL	Ost27.CEL	Ost27.CEL	Ost27.CEL	Ost29.CEL	Ost29.CEL	Ost29.CEL	Ost29.CEL	Ost31.CEL	Ost31.CEL	Ost31.CEL	Ost31.CEL	Ost33.CEL	Ost33.CEL	Ost33.CEL	Ost33.CEL	Ost34.CEL	Ost34.CEL	Ost34.CEL	Ost34.CEL	Ost35.CEL	Ost35.CEL	Ost35.CEL	Ost35.CEL	Ost36.CEL	Ost36.CEL	Ost36.CEL	Ost36.CEL	Ost37.CEL	Ost37.CEL	Ost37.CEL	Ost37.CEL	Ost38.CEL	Ost38.CEL	Ost38.CEL	Ost38.CEL	Ost39.CEL	Ost39.CEL	Ost39.CEL	Ost39.CEL	Ost3L41.CEL	Ost3L41.CEL	Ost3L41.CEL	Ost3L41.CEL	Ost3L43.CEL	Ost3L43.CEL	Ost3L43.CEL	Ost3L43.CEL	Ost40.CEL	Ost40.CEL	Ost40.CEL	Ost40.CEL
200665_s_at	9.87795	P	0.000244141	11	8.765869	P	0.000244141	11	11.7965555	P	0.000244141	11	11.226613	P	0.000244141	11	11.132487	P	0.000244141	11	9.235671	P	0.000732422	11	11.12534	P	0.000244141	11	10.713919	P	0.000244141	11	11.336465	P	0.000244141	11	10.961482	P	0.000244141	11	11.059977	P	0.000244141	11	10.344837	P	0.000244141	11	11.539247	P	0.000244141	11	12.637701	P	0.000244141	11	10.255091	P	0.000244141	11	11.204869	P	0.000244141	11	10.969205	P	0.000244141	11	12.626384	P	0.000244141	11	9.485785	P	0.000244141	11	9.185005	P	0.000244141	11	11.888146	P	0.000244141	11	10.487343	P	0.000244141	11	11.337739	P	0.000244141	11	12.299037	P	0.000244141	11
202310_s_at	10.501585	P	0.000244141	11	9.134263	P	0.000244141	11	13.146192	P	0.000244141	11	12.538552	P	0.000244141	11	12.086816	P	0.000244141	11	8.834084	P	0.000244141	11	12.655098	P	0.000244141	11	12.088979	P	0.000244141	11	11.668333	P	0.000244141	11	10.616591	P	0.000244141	11	11.86772	P	0.000244141	11	11.473095	P	0.000244141	11	11.959745	P	0.000244141	11	12.903438	P	0.000244141	11	9.93108	P	0.000244141	11	11.867799	P	0.000244141	11	11.470786	P	0.000244141	11	13.387695	P	0.000244141	11	9.6264515	P	0.000244141	11	9.327355	P	0.000244141	11	12.53403	P	0.000244141	11	12.001505	P	0.000244141	11	12.736797	P	0.000244141	11	12.984292	P	0.000244141	11
202311_s_at	6.972544	P	0.00195313	11	6.257866	P	0.000732422	11	9.462374	P	0.000244141	11	8.833164	P	0.000244141	11	8.099489	P	0.000244141	11	6.233332	P	0.000244141	11	8.837689	P	0.000732422	11	8.117543	P	0.000244141	11	7.8755584	P	0.000244141	11	7.0798273	P	0.000244141	11	7.9812007	P	0.000244141	11	7.9192147	P	0.000244141	11	8.309043	P	0.000244141	11	9.054338	P	0.000244141	11	6.1733937	P	0.000244141	11	8.33048	P	0.000244141	11	7.6741333	P	0.000244141	11	10.293343	P	0.000244141	11	6.2039804	P	0.000244141	11	6.1059937	P	0.000244141	11	8.2981205	P	0.000244141	11	7.6796794	P	0.000244141	11	9.274757	P	0.000244141	11	9.40419	P	0.000244141	11
202450_s_at	8.131812	P	0.000244141	11	7.0067525	P	0.000244141	11	11.308097	P	0.000244141	11	8.27344	P	0.000244141	11	8.618144	P	0.000244141	11	7.06044	P	0.000244141	11	9.77704	P	0.000244141	11	9.039863	P	0.000244141	11	9.589143	P	0.000244141	11	8.424455	P	0.000244141	11	9.335787	P	0.000244141	11	8.7236	P	0.000244141	11	10.255584	P	0.000244141	11	11.214142	P	0.000244141	11	8.201861	P	0.000244141	11	10.326846	P	0.000244141	11	9.937586	P	0.000244141	11	12.027763	P	0.000244141	11	8.668564	P	0.000244141	11	8.207231	P	0.000244141	11	10.96261	P	0.000244141	11	9.541554	P	0.000244141	11	9.716255	P	0.000244141	11	11.466559	P	0.000244141	11
204638_at	6.9037023	P	0.0012207	11	6.1294727	P	0.00585938	11	8.831398	P	0.000732422	11	6.587618	P	0.00195313	11	5.9338436	A	0.067627	11	6.5124793	P	0.0107422	11	7.8191676	P	0.00195313	11	7.172542	P	0.000732422	11	6.9126406	P	0.000244141	11	6.966654	P	0.000732422	11	7.4625335	P	0.000732422	11	6.7171173	P	0.00195313	11	8.284074	P	0.00195313	11	9.070865	P	0.000244141	11	6.08725	P	0.0375977	11	8.35187	P	0.000244141	11	7.5024014	P	0.000244141	11	9.97949	P	0.000244141	11	7.0535326	P	0.00195313	11	6.729491	P	0.00292969	11	8.676433	P	0.000244141	11	7.080641	P	0.0107422	11	7.214287	P	0.00195313	11	9.353107	P	0.000244141	11
204879_at	1.0198529	A	0.780518	11	0.8337604	A	0.665527	11	6.280614	P	0.0239258	11	1.3034614	A	0.398926	11	2.4798923	A	0.432373	11	1.5732645	A	0.780518	11	4.7556834	A	0.0805664	11	1.7573158	A	0.567627	11	2.676594	A	0.432373	11	2.7286594	A	0.366211	11	4.552443	A	0.111572	11	0.34048772	A	0.52441406	11	3.3004146	A	0.366211	11	6.229862	P	0.0141602	11	4.9169073	A	0.432373	11	3.9825263	A	0.27417	11	5.200517	P	0.0375977	11	7.035227	P	0.0185547	11	2.2529325	A	0.780518	11	0.88864183	A	0.753906	11	5.9050007	M	0.0561523	11	2.6658156	A	0.601074	11	3.6988757	A	0.398926	11	6.165839	P	0.0302734	11
205289_at	5.0528927	P	0.00805664	11	4.6718583	A	0.149658	11	7.049218	P	0.000244141	11	5.496975	P	0.000244141	11	6.411253	P	0.000244141	11	6.1292844	P	0.0239258	11	6.5285287	P	0.0012207	11	5.8382626	P	0.0107422	11	7.312374	P	0.000244141	11	5.6601048	P	0.0012207	11	6.4259915	P	0.00292969	11	5.2889156	P	0.00292969	11	6.7410865	P	0.00195313	11	8.27239	P	0.000244141	11	6.627049	P	0.00585938	11	6.3234086	P	0.00585938	11	5.9797378	P	0.00585938	11	7.272683	P	0.000732422	11	5.044053	P	0.0461426	11	4.5969896	P	0.0141602	11	6.695438	P	0.000244141	11	6.2323456	P	0.0375977	11	6.7940693	P	0.000732422	11	7.236223	P	0.000244141	11
205290_s_at	4.7130146	A	0.149658	11	1.9303701	A	0.432373	11	5.827743	P	0.000244141	11	5.4848237	P	0.0302734	11	5.471654	P	0.0461426	11	5.9888844	P	0.0185547	11	5.353906	P	0.0185547	11	5.276619	P	0.00195313	11	6.9140644	P	0.0012207	11	6.2901554	P	0.00292969	11	5.192892	P	0.0185547	11	5.2558513	P	0.0107421875	11	5.7990236	P	0.00292969	11	7.0354633	P	0.00415039	11	5.4870515	P	0.000732422	11	5.008442	P	0.00585938	11	5.162756	P	0.0141602	11	6.3310633	P	0.000732422	11	4.8835526	A	0.19458	11	4.1932807	A	0.149658	11	6.049803	P	0.0012207	11	5.5256205	A	0.303711	11	5.2366505	P	0.0239258	11	5.956141	P	0.000244141	11
205911_at	4.507351	A	0.067627	11	5.2869525	A	0.0952148	11	9.227145	P	0.000244141	11	7.1442757	P	0.00292969	11	6.890908	P	0.0239258	11	5.162398	M	0.0561523	11	7.2458115	P	0.00195313	11	6.3691397	P	0.00805664	11	8.323832	P	0.000244141	11	7.407292	P	0.000732422	11	6.6036572	P	0.00292969	11	6.2301917	P	0.00195313	11	7.0701375	P	0.00415039	11	8.739412	P	0.000244141	11	6.7644916	P	0.00415039	11	6.3976364	P	0.00415039	11	6.76226	P	0.0012207	11	8.919081	P	0.000244141	11	5.9150844	P	0.0141602	11	5.3775787	A	0.0805664	11	7.78112	P	0.000244141	11	6.361858	P	0.0239258	11	7.208102	P	0.00195313	11	8.204695	P	0.000244141	11
206373_at	3.8464618	A	0.432373	11	-0.018881861	A	0.753906	11	11.377061	P	0.0012207	11	8.197335	P	0.0012207	11	8.168319	P	0.00585938	11	0.9108427	A	0.888428	11	8.97684	P	0.00415039	11	7.4458265	P	0.00292969	11	10.429412	P	0.00195313	11	8.399343	P	0.00415039	11	8.824756	P	0.00585938	11	8.743696	P	0.00195313	11	9.279113	P	0.0012207	11	11.166091	P	0.00195313	11	8.452299	P	0.00195313	11	8.109844	P	0.0012207	11	7.7598896	P	0.00415039	11	10.127652	P	0.00195313	11	1.0124327	A	0.932373	11	1.4973264	A	0.828613	11	10.430882	P	0.0012207	11	7.9074316	P	0.00585938	11	8.40902	P	0.00585938	11	10.319571	P	0.00195313	11
